type,name,elevation_ft,iso_country,municipality,iata_code,coordinates
medium_airport,Las Vegas Municipal Airport,6877.0,US,Las Vegas,LVS,"-105.141998291, 35.6542015076"
medium_airport,Greenbrier Valley Airport,2302.0,US,Lewisburg,LWB,"-80.3994979858, 37.8582992554"
small_airport,Lawrence Municipal Airport,833.0,US,Lawrence,LWC,"-95.21659851, 39.01119995"
small_airport,Wells Municipal Airport/Harriet Field,5772.0,US,Wells,LWL,"-114.92199707, 41.117099762"
medium_airport,Lawrence Municipal Airport,148.0,US,Lawrence,LWM,"-71.1233978271, 42.717201232899995"
medium_airport,Lewiston Nez Perce County Airport,1442.0,US,Lewiston,LWS,"-117.01499938964844, 46.3745002746582"
medium_airport,Lewistown Municipal Airport,4170.0,US,Lewistown,LWT,"-109.46700286865234, 47.04930114746094"
small_airport,Lawrenceville Vincennes International Airport,430.0,US,Lawrenceville,LWV,"-87.6054992676, 38.7643013"
small_airport,Jim Kelly Field,2413.0,US,Lexington,LXN,"-99.7772979736, 40.791000366199995"
small_airport,Lake County Airport,9927.0,US,Leadville,LXV,"-106.317001343, 39.220298767100005"
medium_airport,Lynchburg Regional Preston Glenn Field,938.0,US,Lynchburg,LYH,"-79.20040130615234, 37.326698303222656"
small_airport,Lyons-Rice County Municipal Airport,1691.0,US,Lyons,LYO,"-98.22689819, 38.34280014"
small_airport,Gwinnett County Briscoe Field,1061.0,US,Lawrenceville,LZU,"-83.96240234, 33.97809982"
small_airport,Poplarville Pearl River County Airport,320.0,US,Poplarville,PCU,"-89.504501342773, 30.785999298096"
small_airport,Malta Airport,2254.0,US,Malta,MLK,"-107.918998718, 48.366901397700005"
small_airport,Macon Downtown Airport,437.0,US,Macon,MAC,"-83.56199646, 32.82210159"
small_airport,Madera Municipal Airport,255.0,US,Madera,MAE,"-120.111999512, 36.9886016846"
medium_airport,Midland International Airport,2871.0,US,Midland,MAF,"-102.2020034790039, 31.9424991607666"
small_airport,Malden Regional Airport,294.0,US,Malden,MAW,"-89.99220276, 36.6006012"
small_airport,Koinambe Airport,3000.0,PG,Konambe,KMB,"144.606944444, -5.4875"
medium_airport,Mobridge Municipal Airport,1716.0,US,Mobridge,MBG,"-100.4079971, 45.54650116"
small_airport,Manistee Co Blacker Airport,621.0,US,Manistee,MBL,"-86.24690247, 44.2723999"
small_airport,Bruce Campbell Field,326.0,US,Madison,DXE,"-90.103104, 32.438702"
large_airport,MBS International Airport,668.0,US,Saginaw,MBS,"-84.07959747314453, 43.532901763916016"
small_airport,Omar N Bradley Airport,867.0,US,Moberly,MBY,"-92.4270019531, 39.463901519800004"
medium_airport,Mc Comb/Pike County Airport/John E Lewis Field,413.0,US,Mc Comb,MCB,"-90.47190094, 31.17849922"
medium_airport,Mc Clellan Airfield,77.0,US,Sacramento,MCC,"-121.401001, 38.66759872"
small_airport,Mackinac Island Airport,739.0,US,Mackinac Island,MCD,"-84.63729858, 45.86489868"
medium_airport,Merced Regional Macready Field,155.0,US,Merced,MCE,"-120.5139999, 37.28469849"
large_airport,Mac Dill Air Force Base,14.0,US,Tampa,MCF,"-82.52120209, 27.84930038"
large_airport,Kansas City International Airport,1026.0,US,Kansas City,MCI,"-94.713898, 39.2976"
medium_airport,Mc Cook Ben Nelson Regional Airport,2583.0,US,Mc Cook,MCK,"-100.5920029, 40.20629883"
medium_airport,Middle Georgia Regional Airport,354.0,US,Macon,MCN,"-83.64920043945312, 32.69279861450195"
large_airport,Orlando International Airport,96.0,US,Orlando,MCO,"-81.30899810791016, 28.429399490356445"
medium_airport,Mason City Municipal Airport,1213.0,US,Mason City,MCW,"-93.3312988281, 43.157798767100005"
heliport,Martindale Army Heliport,674.0,US,San Antonio,MDA,"-98.3777999878, 29.4312992096"
small_airport,Midland Airpark,2803.0,US,Midland,MDD,"-102.100997925, 32.0364990234"
medium_airport,Southern Illinois Airport,411.0,US,Carbondale/Murphysboro,MDH,"-89.25199890136719, 37.778099060058594"
small_airport,Madison Municipal Airport,1718.0,US,Madison,XMD,"-97.08589935, 44.01599884"
medium_airport,Harrisburg International Airport,310.0,US,Harrisburg,MDT,"-76.7633972168, 40.1935005188"
large_airport,Chicago Midway International Airport,620.0,US,Chicago,MDW,"-87.752403, 41.785999"
small_airport,Taylor County Airport,1478.0,US,Medford,MDF,"-90.30329895, 45.10100174"
small_airport,Laurinburg Maxton Airport,216.0,US,Maxton,MXE,"-79.365799, 34.791901"
medium_airport,Key Field,297.0,US,Meridian,MEI,"-88.75189971923828, 32.33259963989258"
large_airport,Memphis International Airport,341.0,US,Memphis,MEM,"-89.97669982910156, 35.04240036010742"
medium_airport,Castle Airport,191.0,US,Merced,MER,"-120.5680008, 37.38050079"
small_airport,Minden-Tahoe Airport,4722.0,US,Minden,MEV,"-119.7509995, 39.00030136"
small_airport,Kamina Airport,2157.0,PG,Hoieti,KMF,"145.956944444, -7.64925"
medium_airport,Mansfield Lahm Regional Airport,1297.0,US,Mansfield,MFD,"-82.5166015625, 40.82139968869999"
medium_airport,Mc Allen Miller International Airport,107.0,US,Mc Allen,MFE,"-98.23860168, 26.17580032"
small_airport,Marshfield Municipal Airport,1277.0,US,Marshfield,MFI,"-90.18930053710001, 44.6369018555"
medium_airport,Rogue Valley International Medford Airport,1335.0,US,Medford,MFR,"-122.87300109863281, 42.37419891357422"
small_airport,Accomack County Airport,47.0,US,Melfa,MFV,"-75.761100769, 37.646900177"
small_airport,Michigan City Municipal Airport,655.0,US,Michigan City,MGC,"-86.8211975098, 41.703300476100004"
large_airport,Dobbins Air Reserve Base,1068.0,US,Marietta,MGE,"-84.51629639, 33.91540146"
small_airport,Orange County Airport,364.0,US,Montgomery,MGJ,"-74.26460266, 41.50999832"
large_airport,Montgomery Regional (Dannelly Field) Airport,221.0,US,Montgomery,MGM,"-86.39399719, 32.30059814"
small_airport,Moultrie Municipal Airport,294.0,US,Moultrie,MGR,"-83.8032989502, 31.084899902300002"
medium_airport,Morgantown Municipal Walter L. Bill Hart Field,1248.0,US,Morgantown,MGW,"-79.91629791, 39.64289856"
small_airport,Dayton-Wright Brothers Airport,957.0,US,Dayton,MGY,"-84.224899292, 39.5890007019"
small_airport,Mitchell Municipal Airport,1304.0,US,Mitchell,MHE,"-98.03859710690001, 43.774799346900004"
